Name,Description
**Add users**,Users with this permission can add other users to the website.
**Snippets** \*,Users with this permission can use the snippets feature on the website.
**Edit user info** \*,Users with this permission can edit their own personal information.
**Edit password** \*,Users with this permission can edit their own password.
**Create course**,Users with this permission can create new courses.
**Manage site users**,Users with this permission can change the global permissions for other users on the site.
**Search users** \*,"Users with this permission can search for users on the side, this means they can see all other users on the site."
**Impersonate users**,"Users with this permission can impersonate users, i.e. they can login as other users."
**Manage LTI providers**,"Users with this permission can edit and list existing, and create new LTI providers."
**Manage SSO Providers**,Users with this permission can connect new SSO Identity Providers.
